18.8600000	1540.6200
18.8600400	1534.2500
18.8600800	1527.8800
18.8601200	1521.5100
18.8601600	1515.1400
18.8602000	1508.7700
18.8602400	1502.4000
18.8602800	1496.0400
18.8603200	1489.6700
18.8603600	1483.3000
18.8604000	1476.9300
18.8604400	1470.5600
18.8604800	1464.1900
18.8605200	1457.8100
18.8605600	1451.4400
18.8606000	1445.0700
18.8606400	1438.7000
18.8606800	1432.3300
18.8607200	1425.9600
18.8607600	1419.5900
18.8608000	1413.2200
18.8608400	1406.8500
18.8608800	1400.4800
18.8609200	1394.1000
18.8609600	1387.7300
18.8610000	1381.3600
18.8610400	1374.9900
18.8610800	1368.6200
18.8611200	1362.2400
18.8611600	1355.8700
18.8612000	1349.5000
18.8612400	1343.1300
18.8612800	1336.7600
18.8613200	1330.3800
18.8613600	1324.0100
18.8614000	1317.6400
18.8614400	1311.2600
18.8614800	1304.8900
18.8615200	1298.5200
18.8615600	1292.1500
18.8616000	1285.7700
18.8616400	1279.4000
18.8616800	1273.0300
18.8617200	1266.6500
18.8617600	1260.2800
18.8618000	1253.9000
18.8618400	1247.5300
18.8618800	1241.1600
18.8619200	1234.7800
18.8619600	1228.4100
18.8620000	1222.0300
18.8620400	1215.6600
18.8620800	1209.2900
18.8621200	1202.9100
18.8621600	1196.5400
18.8622000	1190.1600
18.8622400	1183.7900
18.8622800	1177.4100
18.8623200	1171.0400
18.8623600	1164.6700
18.8624000	1158.2900
18.8624400	1151.9200
18.8624800	1145.5400
18.8625200	1139.1700
18.8625600	1132.7900
18.8626000	1126.4200
18.8626400	1120.0400
18.8626800	1113.6700
18.8627200	1107.2900
18.8627600	1100.9200
18.8628000	1094.5400
18.8628400	1088.1700
18.8628800	1081.7900
18.8629200	1075.4100
18.8629600	1069.0400
18.8630000	1062.6600
18.8630400	1056.2900
18.8630800	1049.9100
18.8631200	1043.5400
18.8631600	1037.1600
18.8632000	1030.7900
18.8632400	1024.4100
18.8632800	1018.0400
18.8633200	1011.6600
18.8633600	1005.2800
18.8634000	998.9080
18.8634400	992.5320
18.8634800	986.1570
18.8635200	979.7810
18.8635600	973.4050
18.8636000	967.0290
18.8636400	960.6540
18.8636800	954.2780
18.8637200	947.9020
18.8637600	941.5260
18.8638000	935.1500
18.8638400	928.7740
18.8638800	922.3980
18.8639200	916.0230
18.8639600	909.6470
18.8640000	903.2710
18.8640400	896.8950
18.8640800	890.5190
18.8641200	884.1430
18.8641600	877.7670
18.8642000	871.3910
18.8642400	865.0150
18.8642800	858.6400
18.8643200	852.2640
18.8643600	845.8880
18.8644000	839.5120
18.8644400	833.1360
18.8644800	826.7600
18.8645200	820.3850
18.8645600	814.0090
18.8646000	807.6330
18.8646400	801.2570
18.8646800	794.8820
18.8647200	788.5060
18.8647600	782.1300
18.8648000	775.7550
18.8648400	769.3790
18.8648800	763.0040
18.8649200	756.6280
18.8649600	750.2530
18.8650000	743.8770
18.8650400	737.5020
18.8650800	731.1260
18.8651200	724.7510
18.8651600	718.3760
18.8652000	712.0000
18.8652400	705.6250
18.8652800	699.2500
18.8653200	692.8750
18.8653600	686.5000
18.8654000	680.1250
18.8654400	673.7500
18.8654800	667.3750
18.8655200	661.0000
18.8655600	654.6250
18.8656000	648.2500
18.8656400	641.8750
18.8656800	635.5010
18.8657200	629.1260
18.8657600	622.7510
18.8658000	616.3770
18.8658400	610.0030
18.8658800	603.6280
18.8659200	597.2540
18.8659600	590.8800
18.8660000	584.5050
18.8660400	578.1310
18.8660800	571.7570
18.8661200	565.3830
18.8661600	559.0100
18.8662000	552.6360
18.8662400	546.2620
18.8662800	539.8880
18.8663200	533.5150
18.8663600	527.1410
18.8664000	520.7680
18.8664400	514.3950
18.8664800	508.0210
18.8665200	501.6480
18.8665600	495.2750
18.8666000	488.9020
18.8666400	482.5290
18.8666800	476.1570
18.8667200	469.7840
18.8667600	463.4110
18.8668000	457.0390
18.8668400	450.6670
18.8668800	444.2940
18.8669200	437.9220
18.8669600	431.5500
18.8670000	425.1780
18.8670400	418.8060
18.8670800	412.4350
18.8671200	406.0630
18.8671600	399.6910
18.8672000	393.3200
18.8672400	386.9490
18.8672800	380.5770
18.8673200	374.2060
18.8673600	367.8350
18.8674000	361.4650
18.8674400	355.0940
18.8674800	348.7230
18.8675200	342.3530
18.8675600	335.9820
18.8676000	329.6120
18.8676400	323.2420
18.8676800	316.8720
18.8677200	310.5020
18.8677600	304.1330
18.8678000	297.7630
18.8678400	291.3940
18.8678800	285.0240
18.8679200	278.6550
18.8679600	272.2860
18.8680000	265.9170
18.8680400	259.5490
18.8680800	253.1800
18.8681200	246.8120
18.8681600	240.4430
18.8682000	234.0750
18.8682400	227.7070
18.8682800	221.3390
18.8683200	214.9720
18.8683600	208.6040
18.8684000	202.2370
18.8684400	195.8690
18.8684800	189.5020
18.8685200	183.1350
18.8685600	176.7690
18.8686000	170.4020
18.8686400	164.0360
18.8686800	157.6690
18.8687200	151.3030
18.8687600	144.9370
18.8688000	138.5720
18.8688400	132.2060
18.8688800	125.8410
18.8689200	119.4750
18.8689600	113.1100
18.8690000	106.7450
18.8690400	100.3810
18.8690800	94.0160
18.8691200	87.6516
18.8691600	81.2875
18.8692000	74.9235
18.8692400	68.5596
18.8692800	62.1960
18.8693200	55.8326
18.8693600	49.4693
18.8694000	43.1063
18.8694400	36.7434
18.8694800	30.3807
18.8695200	24.0182
18.8695600	17.6559
18.8696000	11.2938
18.8696400	4.9320
18.8696800	-1.4297
18.8697200	-7.7912
18.8697600	-14.1525
18.8698000	-20.5136
